Run	Sample	Condition	sample_name
SRR351039	SAMN00737868	Caenorhabditis elegans N2 early embryo EE_50-510 RNA library	Caenorhabditis elegans N2 early embryo EE_50-510 RNA library
SRR359091	SAMN00737868	Caenorhabditis elegans N2 early embryo EE_50-510 RNA library	Caenorhabditis elegans N2 early embryo EE_50-510 RNA library
SRR351017	SAMN00737862	Caenorhabditis elegans N2 early embryo EE_50-540 RNA library	Caenorhabditis elegans N2 early embryo EE_50-540 RNA library
SRR351018	SAMN00737862	Caenorhabditis elegans N2 early embryo EE_50-540 RNA library	Caenorhabditis elegans N2 early embryo EE_50-540 RNA library
SRR351019	SAMN00737862	Caenorhabditis elegans N2 early embryo EE_50-540 RNA library	Caenorhabditis elegans N2 early embryo EE_50-540 RNA library
SRR351020	SAMN00737862	Caenorhabditis elegans N2 early embryo EE_50-540 RNA library	Caenorhabditis elegans N2 early embryo EE_50-540 RNA library
SRR359087	SAMN00737862	Caenorhabditis elegans N2 early embryo EE_50-540 RNA library	Caenorhabditis elegans N2 early embryo EE_50-540 RNA library
SRR350987	SAMN00737851	Caenorhabditis elegans N2 early embryo EE_50-570 RNA library	Caenorhabditis elegans N2 early embryo EE_50-570 RNA library
SRR350988	SAMN00737851	Caenorhabditis elegans N2 early embryo EE_50-570 RNA library	Caenorhabditis elegans N2 early embryo EE_50-570 RNA library
SRR350989	SAMN00737851	Caenorhabditis elegans N2 early embryo EE_50-570 RNA library	Caenorhabditis elegans N2 early embryo EE_50-570 RNA library
SRR359089	SAMN00737851	Caenorhabditis elegans N2 early embryo EE_50-570 RNA library	Caenorhabditis elegans N2 early embryo EE_50-570 RNA library
SRR316196	SAMN00678161	Caenorhabditis elegans N2 early embryo EE_50-60 RNA library	Caenorhabditis elegans N2 early embryo EE_50-60 RNA library
SRR317083	SAMN00678161	Caenorhabditis elegans N2 early embryo EE_50-60 RNA library	Caenorhabditis elegans N2 early embryo EE_50-60 RNA library
SRR350990	SAMN00737852	Caenorhabditis elegans N2 early embryo EE_50-600 RNA library	Caenorhabditis elegans N2 early embryo EE_50-600 RNA library
SRR350991	SAMN00737852	Caenorhabditis elegans N2 early embryo EE_50-600 RNA library	Caenorhabditis elegans N2 early embryo EE_50-600 RNA library
