Run	Sample	Condition	sex	host_organism	genotype_of_experiment_host	tissue	strain	developmental_stage
SRR25996798	SAMN37187611	In_vitro_5d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996800	SAMN37187611	In_vitro_5d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996799	SAMN37187611	In_vitro_5d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996801	SAMN37187611	In_vitro_5d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996802	SAMN37187611	In_vitro_5d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996803	SAMN37187611	In_vitro_5d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996809	SAMN37187612	In_vitro_5d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996806	SAMN37187612	In_vitro_5d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996807	SAMN37187612	In_vitro_5d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996804	SAMN37187612	In_vitro_5d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996805	SAMN37187612	In_vitro_5d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996808	SAMN37187612	In_vitro_5d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25997144	SAMN37187613	In_vitro_5d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997146	SAMN37187613	In_vitro_5d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997143	SAMN37187613	In_vitro_5d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997141	SAMN37187613	In_vitro_5d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25997142	SAMN37187613	In_vitro_5d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
