biosample	run_accession	sex	host_organism	genotype_of_experiment_host	genotype_of_passage_host	tissue	treatment	strain	developmental_stage	condition
SAMN37187613	SRR25997143	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_female
SAMN37187613	SRR25997141	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_female
SAMN37187613	SRR25997142	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_female
SAMN37187613	SRR25997145	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_female
SAMN37187614	SRR25997150	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_male
SAMN37187614	SRR25997151	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_male
SAMN37187614	SRR25997148	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_male
SAMN37187614	SRR25997147	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_male
SAMN37187614	SRR25997149	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_male
SAMN37187614	SRR25997152	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_male
SAMN37187615	SRR25997160	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_female
SAMN37187615	SRR25997163	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_female
SAMN37187615	SRR25997164	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_female
SAMN37187615	SRR25997161	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_female
SAMN37187615	SRR25997162	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_female
SAMN37187615	SRR25997159	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_7d_from_mouse	MIMR	adult	In_vitro_7d_m_female
