# Differential expression analysis for study ERP0009481 contrast  across:sex. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !Adult female vs Adult male: Adult male - low replicates (1)
	!Adult female vs Adult male
WBGene00224717	0.72
WBGene00224718	-3.38
WBGene00224719	1.17
WBGene00224720	1.43
WBGene00224722	-0.58
WBGene00224725	5.26
WBGene00224726	1.66
WBGene00224727	0.81
WBGene00224728	1.24
WBGene00224730	-0.99
WBGene00224733	-1.40
WBGene00224734	3.21
WBGene00224735	-0.33
WBGene00224737	1.18
WBGene00224738	1.73
WBGene00224741	0.86
WBGene00224743	1.68
WBGene00224744	2.17
WBGene00224745	-1.87
WBGene00224746	4.64
WBGene00224748	0.67
WBGene00224751	-1.89
WBGene00224753	0.44
WBGene00224755	-3.19
WBGene00224756	1.44
WBGene00224757	-1.80
WBGene00224758	-2.81
WBGene00224763	1.92
WBGene00224764	1.73
WBGene00224765	1.89
WBGene00224766	-5.88
WBGene00224768	0.61
WBGene00224770	0.91
WBGene00224772	-1.78
WBGene00224775	2.49
WBGene00224776	2.82
WBGene00224777	0.37
WBGene00224779	-1.51
WBGene00224780	-0.81
WBGene00224781	-0.77
WBGene00224782	-1.69
WBGene00224783	0.82
WBGene00224784	2.53
WBGene00224785	-1.01
WBGene00224786	-1.90
WBGene00224788	2.42
WBGene00224789	-0.50
WBGene00224790	-0.97
WBGene00224793	-0.68
WBGene00224795	3.34
WBGene00224796	1.20
WBGene00224797	1.04
WBGene00224801	6.17
WBGene00224802	3.38
WBGene00224804	-9.40
WBGene00224807	-1.95
WBGene00224808	1.61
WBGene00224810	2.05
WBGene00224811	1.35
WBGene00224813	4.92
WBGene00224815	4.93
WBGene00224818	-1.08
WBGene00224819	-6.70
WBGene00224820	2.43
WBGene00224822	-0.52
WBGene00224824	-2.94
WBGene00224825	1.84
WBGene00224826	2.31
WBGene00224828	-1.28
WBGene00224829	-2.15
WBGene00224831	-1.96
WBGene00224836	1.01
WBGene00224838	-0.80
WBGene00224839	2.47
WBGene00224841	-1.20
WBGene00224842	-0.83
WBGene00224845	-1.42
WBGene00224846	3.35
WBGene00224847	-2.10
WBGene00224849	1.68
WBGene00224851	0.90
WBGene00224852	-2.03
WBGene00224853	3.11
WBGene00224854	-0.65
WBGene00224855	-0.63
WBGene00224857	-0.79
WBGene00224858	0.80
WBGene00224860	-1.11
WBGene00224862	-1.50
WBGene00224863	-2.44
WBGene00224864	-1.37
WBGene00224865	-1.61
WBGene00224866	-1.39
WBGene00224867	1.88
WBGene00224868	0.92
WBGene00224870	-1.76
WBGene00224871	1.07
WBGene00224872	-1.81
WBGene00224875	1.86
WBGene00224877	3.21
WBGene00224881	3.59
WBGene00224882	2.28
WBGene00224883	1.91
WBGene00224884	-5.29
WBGene00224885	1.35
WBGene00224886	-0.59
WBGene00224888	1.72
WBGene00224889	-1.04
WBGene00224891	0.48
WBGene00224892	0.86
WBGene00224893	-2.36
WBGene00224895	-2.95
WBGene00224896	-2.35
WBGene00224898	-0.60
WBGene00224899	-1.26
WBGene00224900	2.15
WBGene00224901	-1.64
WBGene00224902	1.78
WBGene00224903	-2.78
WBGene00224904	-1.78
WBGene00224905	-1.46
WBGene00224906	1.83
WBGene00224907	4.02
WBGene00224909	-1.72
WBGene00224910	1.26
WBGene00224911	-3.49
WBGene00224912	-0.82
WBGene00224913	2.95
WBGene00224919	0.95
WBGene00224920	1.03
WBGene00224922	0.41
WBGene00224923	0.52
WBGene00224924	-1.86
WBGene00224925	-2.70
WBGene00224926	-2.81
WBGene00224927	-0.86
WBGene00224928	-0.50
WBGene00224929	1.04
WBGene00224930	0.80
WBGene00224931	0.93
WBGene00224932	-2.91
WBGene00224938	1.47
WBGene00224939	-1.48
WBGene00224941	0.87
WBGene00224943	1.37
WBGene00224944	3.63
WBGene00224945	0.69
WBGene00224946	-0.91
WBGene00224947	1.09
WBGene00224949	0.75
WBGene00224951	1.34
WBGene00224952	0.54
WBGene00224953	0.82
WBGene00224955	1.84
WBGene00224956	-0.39
WBGene00224957	1.38
WBGene00224958	0.94
WBGene00224959	1.67
WBGene00224961	-1.16
WBGene00224962	-1.59
WBGene00224963	1.43
WBGene00224964	0.87
WBGene00224965	-0.40
WBGene00224966	-1.84
WBGene00224969	-1.48
WBGene00224970	-2.84
WBGene00224971	1.49
WBGene00224972	-3.27
WBGene00224974	-1.47
WBGene00224975	1.70
WBGene00224976	3.00
WBGene00224977	2.19
WBGene00224979	0.95
WBGene00224980	-5.12
WBGene00224982	1.88
WBGene00224984	-1.42
WBGene00224985	-1.41
WBGene00224989	2.59
WBGene00224991	2.35
WBGene00224992	0.36
WBGene00224994	0.69
WBGene00224996	-1.17
WBGene00224998	-3.61
WBGene00224999	3.03
WBGene00225000	-0.69
WBGene00225001	-1.13
WBGene00225004	-1.65
WBGene00225006	-0.82
WBGene00225011	0.54
WBGene00225015	0.47
WBGene00225016	3.30
WBGene00225019	-3.49
WBGene00225022	0.55
WBGene00225024	-1.84
WBGene00225025	0.82
WBGene00225028	-1.61
WBGene00225029	1.34
WBGene00225031	0.96
WBGene00225033	-0.93
WBGene00225037	2.32
WBGene00225038	-2.33
WBGene00225040	-2.21
WBGene00225042	-2.53
WBGene00225044	2.74
WBGene00225045	4.60
WBGene00225046	-0.59
WBGene00225047	-1.46
WBGene00225048	-4.54
WBGene00225050	1.22
WBGene00225051	0.72
WBGene00225052	-0.39
WBGene00225053	-2.14
WBGene00225057	-1.78
WBGene00225058	-1.34
WBGene00225060	-0.66
WBGene00225061	-0.73
WBGene00225063	1.39
WBGene00225064	-0.65
WBGene00225066	0.88
WBGene00225067	-1.23
WBGene00225069	-1.52
WBGene00225070	1.93
WBGene00225072	-0.66
WBGene00225074	4.18
WBGene00225076	1.54
WBGene00225077	1.00
WBGene00225078	0.83
WBGene00225080	1.61
WBGene00225081	1.32
WBGene00225082	3.92
WBGene00225085	0.58
WBGene00225086	-0.57
WBGene00225090	1.15
WBGene00225092	1.05
WBGene00225093	2.32
WBGene00225094	2.41
WBGene00225095	-1.05
WBGene00225096	0.46
WBGene00225097	-0.58
WBGene00225098	-3.86
WBGene00225100	2.54
WBGene00225101	0.76
WBGene00225102	-7.02
WBGene00225105	-0.53
WBGene00225106	-5.95
WBGene00225107	-2.78
WBGene00225108	-2.02
WBGene00225114	-4.68
WBGene00225115	-0.48
WBGene00225116	0.35
WBGene00225119	3.84
WBGene00225120	-2.75
WBGene00225121	0.80
WBGene00225125	-2.64
WBGene00225126	2.63
WBGene00225127	1.16
WBGene00225128	-0.84
WBGene00225130	0.85
WBGene00225131	1.03
WBGene00225133	-6.11
WBGene00225137	0.73
WBGene00225138	-3.37
WBGene00225139	-3.10
WBGene00225141	0.43
WBGene00225143	-4.76
WBGene00225145	1.49
WBGene00225146	-1.78
WBGene00225147	0.71
WBGene00225148	1.16
WBGene00225155	2.70
WBGene00225156	0.86
WBGene00225158	0.73
WBGene00225160	3.25
WBGene00225162	-1.53
WBGene00225164	1.50
WBGene00225165	3.23
WBGene00225167	-1.55
WBGene00225168	1.79
WBGene00225169	-2.20
WBGene00225171	-0.58
WBGene00225172	1.92
WBGene00225173	1.05
WBGene00225174	1.85
WBGene00225175	0.80
WBGene00225176	-2.13
WBGene00225177	-0.77
WBGene00225178	1.91
WBGene00225179	-2.38
WBGene00225180	-2.05
WBGene00225183	-1.94
WBGene00225184	0.82
WBGene00225186	-0.43
WBGene00225187	0.59
WBGene00225188	-9.77
WBGene00225189	4.48
WBGene00225190	-5.48
WBGene00225192	1.99
WBGene00225195	1.07
WBGene00225196	-2.58
WBGene00225197	-7.35
WBGene00225199	-4.59
WBGene00225201	0.56
WBGene00225202	0.52
WBGene00225204	1.26
WBGene00225205	-0.67
WBGene00225206	-1.15
WBGene00225207	0.70
WBGene00225209	0.93
WBGene00225210	2.44
WBGene00225211	-2.78
WBGene00225212	0.81
WBGene00225213	2.23
WBGene00225216	-0.42
WBGene00225217	-2.70
WBGene00225219	-1.81
WBGene00225224	-1.79
WBGene00225225	-4.32
WBGene00225226	-0.56
WBGene00225227	0.89
WBGene00225229	-0.86
WBGene00225230	-1.46
WBGene00225231	-1.81
WBGene00225232	-2.82
WBGene00225233	0.34
WBGene00225234	-0.38
WBGene00225235	0.90
WBGene00225236	-1.82
WBGene00225237	2.40
WBGene00225238	-0.52
WBGene00225243	2.25
WBGene00225244	-1.08
WBGene00225245	0.62
WBGene00225246	0.38
WBGene00225248	2.52
WBGene00225258	0.97
WBGene00225259	-0.79
WBGene00225260	0.30
WBGene00225261	-3.02
WBGene00225263	2.09
WBGene00225264	-0.68
WBGene00225265	0.61
WBGene00225267	0.83
WBGene00225268	0.92
WBGene00225269	5.92
WBGene00225270	0.88
WBGene00225272	-4.95
WBGene00225275	-0.39
WBGene00225276	-2.46
WBGene00225277	0.91
WBGene00225279	-1.87
WBGene00225280	0.40
WBGene00225281	0.80
WBGene00225283	2.99
WBGene00225286	1.68
WBGene00225288	0.91
WBGene00225291	0.64
WBGene00225292	-1.25
WBGene00225293	-5.85
WBGene00225296	-1.15
WBGene00225297	-4.16
WBGene00225298	0.52
WBGene00225300	1.67
WBGene00225301	-5.00
WBGene00225302	-1.46
WBGene00225303	0.88
WBGene00225308	-1.22
WBGene00225310	-1.27
WBGene00225311	-1.87
WBGene00225313	-0.89
WBGene00225314	-1.87
WBGene00225315	-1.50
WBGene00225317	0.55
WBGene00225319	1.00
WBGene00225320	-0.68
WBGene00225322	0.82
WBGene00225323	-2.73
WBGene00225324	-4.30
WBGene00225325	-1.65
WBGene00225326	-1.31
WBGene00225327	1.67
WBGene00225329	0.45
WBGene00225332	1.11
WBGene00225333	-0.74
WBGene00225335	1.36
WBGene00225336	-3.34
WBGene00225337	1.10
WBGene00225338	-2.70
WBGene00225339	2.06
WBGene00225342	0.55
WBGene00225343	0.63
WBGene00225344	1.44
WBGene00225345	4.71
WBGene00225347	-1.42
WBGene00225348	-3.75
WBGene00225349	-1.03
WBGene00225350	0.98
WBGene00225352	-2.16
WBGene00225353	-1.07
WBGene00225354	1.73
WBGene00225356	-1.38
WBGene00225357	-3.03
WBGene00225358	2.17
WBGene00225359	-0.83
WBGene00225361	-10.25
WBGene00225362	-3.65
WBGene00225364	1.57
WBGene00225368	3.77
WBGene00225369	-0.60
WBGene00225370	0.92
WBGene00225372	-7.75
WBGene00225373	0.85
WBGene00225374	0.62
WBGene00225375	2.10
WBGene00225376	-0.49
WBGene00225377	0.85
WBGene00225378	-1.14
WBGene00225379	-2.92
WBGene00225380	-1.75
WBGene00225382	-1.01
WBGene00225385	1.82
WBGene00225386	-0.81
WBGene00225388	-1.71
WBGene00225389	1.82
WBGene00225390	-1.12
WBGene00225391	-0.82
WBGene00225393	-1.87
WBGene00225394	-1.05
WBGene00225395	-5.19
WBGene00225397	1.11
WBGene00225400	1.73
WBGene00225402	0.95
WBGene00225403	-1.99
WBGene00225404	-2.58
WBGene00225405	0.43
WBGene00225406	-1.63
WBGene00225407	0.81
WBGene00225409	1.43
WBGene00225410	-1.07
WBGene00225415	-1.98
WBGene00225421	-2.32
WBGene00225422	-1.10
WBGene00225426	4.18
WBGene00225427	-2.10
WBGene00225428	-5.16
WBGene00225429	1.81
WBGene00225430	-1.21
WBGene00225433	1.21
WBGene00225435	-0.90
WBGene00225437	-2.18
WBGene00225439	0.41
WBGene00225440	-1.60
WBGene00225441	1.48
WBGene00225442	-2.72
WBGene00225443	-1.46
WBGene00225444	-0.49
WBGene00225445	-3.67
WBGene00225446	-5.82
WBGene00225447	1.73
WBGene00225448	0.85
WBGene00225449	1.28
WBGene00225450	-10.14
WBGene00225451	-2.39
WBGene00225452	0.53
WBGene00225454	1.47
WBGene00225455	-2.09
WBGene00225456	1.58
WBGene00225457	-2.16
WBGene00225458	0.90
WBGene00225459	2.86
WBGene00225460	2.38
WBGene00225461	0.34
WBGene00225462	-1.16
WBGene00225463	-0.92
WBGene00225464	-2.29
WBGene00225465	-2.87
WBGene00225468	-0.61
WBGene00225471	0.99
WBGene00225474	2.28
WBGene00225477	-0.88
WBGene00225480	-1.56
WBGene00225482	0.88
WBGene00225483	-1.92
WBGene00225486	-1.78
WBGene00225489	0.62
WBGene00225490	-1.23
WBGene00225491	-3.92
WBGene00225492	1.28
WBGene00225493	-1.12
WBGene00225495	1.79
WBGene00225496	-1.90
WBGene00225497	-0.77
WBGene00225498	-1.32
WBGene00225499	-1.79
WBGene00225500	0.81
WBGene00225501	1.26
WBGene00225502	-2.12
WBGene00225503	1.58
WBGene00225504	1.08
WBGene00225507	-2.93
WBGene00225509	0.88
WBGene00225510	2.21
WBGene00225511	2.60
WBGene00225513	-1.41
WBGene00225514	-0.50
WBGene00225515	-1.38
WBGene00225516	-1.30
WBGene00225517	-0.80
WBGene00225518	0.51
WBGene00225519	-3.57
WBGene00225522	5.33
WBGene00225524	0.91
WBGene00225525	-1.01
WBGene00225527	1.98
WBGene00225528	0.88
WBGene00225529	-11.31
WBGene00225531	-3.51
WBGene00225533	-2.09
WBGene00225535	2.06
WBGene00225536	0.47
WBGene00225537	0.52
WBGene00225538	1.57
WBGene00225539	1.46
WBGene00225541	-1.19
WBGene00225543	-0.45
WBGene00225545	-2.49
WBGene00225546	0.58
WBGene00225547	0.92
WBGene00225549	0.92
WBGene00225550	-0.83
WBGene00225551	0.85
WBGene00225553	5.50
WBGene00225554	1.12
WBGene00225556	-6.46
WBGene00225557	2.90
WBGene00225558	-2.42
WBGene00225559	2.33
WBGene00225560	0.63
WBGene00225561	-1.12
WBGene00225563	0.52
WBGene00225565	-0.99
WBGene00225566	1.02
WBGene00225568	2.71
WBGene00225569	-0.41
WBGene00225570	-0.43
WBGene00225572	-0.80
WBGene00225574	-6.53
WBGene00225576	3.18
WBGene00225579	0.96
WBGene00225580	-1.28
WBGene00225584	-1.03
WBGene00225585	3.02
WBGene00225588	2.98
WBGene00225590	-1.57
WBGene00225593	-1.91
WBGene00225594	1.13
WBGene00225596	-0.74
WBGene00225597	2.03
WBGene00225599	-0.96
WBGene00225601	-1.28
WBGene00225606	1.26
WBGene00225607	-5.12
WBGene00225608	0.77
WBGene00225611	-2.27
WBGene00225612	0.51
WBGene00225614	-2.03
WBGene00225616	0.47
WBGene00225617	0.76
WBGene00225618	-0.65
WBGene00225619	0.95
WBGene00225620	1.77
WBGene00225621	-1.98
WBGene00225622	-10.40
WBGene00225623	-0.32
WBGene00225626	-2.34
WBGene00225629	0.55
WBGene00225630	0.56
WBGene00225635	-1.08
WBGene00225638	3.15
WBGene00225639	-0.89
WBGene00225641	5.62
WBGene00225642	1.09
WBGene00225643	0.66
WBGene00225644	2.35
WBGene00225645	0.58
WBGene00225646	2.23
WBGene00225648	-0.85
WBGene00225649	-1.23
WBGene00225650	0.71
WBGene00225651	1.46
WBGene00225652	4.20
WBGene00225653	1.30
WBGene00225654	-8.53
WBGene00225655	-6.05
WBGene00225656	-2.29
WBGene00225657	2.75
WBGene00225658	1.38
WBGene00225659	1.60
WBGene00225661	-0.81
WBGene00225664	-3.20
WBGene00225668	-1.81
WBGene00225669	-0.81
WBGene00225670	1.31
WBGene00225672	0.73
WBGene00225675	-1.81
WBGene00225676	-1.01
WBGene00225677	1.50
WBGene00225680	0.74
WBGene00225683	-1.52
WBGene00225684	0.61
WBGene00225685	-1.44
WBGene00225687	-1.22
WBGene00225688	0.65
WBGene00225691	2.11
WBGene00225692	-2.59
WBGene00225693	1.21
WBGene00225694	-3.65
WBGene00225695	-1.17
WBGene00225697	-0.73
WBGene00225698	-1.41
WBGene00225701	-1.35
WBGene00225702	0.98
WBGene00225704	0.61
WBGene00225705	0.46
WBGene00225706	-1.99
WBGene00225708	1.88
WBGene00225709	-2.50
WBGene00225710	-2.32
WBGene00225712	1.45
WBGene00225718	-1.60
WBGene00225719	1.38
WBGene00225720	-1.71
WBGene00225721	1.40
WBGene00225727	-3.97
WBGene00225730	-1.25
WBGene00225733	-6.37
WBGene00225734	1.26
WBGene00225737	-1.59
WBGene00225739	-1.07
WBGene00225740	-2.35
WBGene00225742	0.85
WBGene00225744	-2.69
WBGene00225746	-0.71
WBGene00225749	0.54
WBGene00225750	-3.03
WBGene00225752	-1.35
WBGene00225754	-0.99
WBGene00225755	0.94
WBGene00225758	-3.55
WBGene00225760	-1.42
WBGene00225761	0.86
WBGene00225765	7.00
WBGene00225766	0.56
WBGene00225767	-2.04
WBGene00225769	-5.10
WBGene00225770	-1.52
WBGene00225771	0.50
WBGene00225772	0.69
WBGene00225773	-1.30
WBGene00225774	-1.13
WBGene00225776	1.69
WBGene00225780	2.32
WBGene00225781	0.96
WBGene00225782	1.33
WBGene00225783	1.17
WBGene00225785	1.48
WBGene00225786	-2.19
WBGene00225788	-1.30
WBGene00225789	-1.07
WBGene00225790	-0.68
WBGene00225794	-1.97
WBGene00225797	0.81
WBGene00225799	0.64
WBGene00225801	-2.15
WBGene00225802	2.59
WBGene00225803	3.35
WBGene00225804	0.80
WBGene00225805	0.82
WBGene00225806	0.99
WBGene00225807	2.55
WBGene00225808	1.93
WBGene00225809	-1.21
WBGene00225810	1.13
WBGene00225812	-4.35
WBGene00225813	-2.19
WBGene00225814	-2.45
WBGene00225815	-1.56
WBGene00225816	-1.74
WBGene00225817	-0.57
WBGene00225818	3.02
WBGene00225821	2.29
WBGene00225822	1.90
WBGene00225825	1.22
WBGene00225826	-1.56
WBGene00225827	-6.84
WBGene00225828	1.74
WBGene00225829	1.96
WBGene00225831	0.44
WBGene00225832	2.21
WBGene00225833	-2.15
WBGene00225834	1.07
WBGene00225837	-7.17
WBGene00225838	0.93
WBGene00225839	0.58
WBGene00225840	1.33
WBGene00225841	-2.02
WBGene00225842	-0.78
WBGene00225844	1.88
WBGene00225845	0.25
WBGene00225846	2.20
WBGene00225847	-0.40
WBGene00225848	-0.63
WBGene00225849	1.90
WBGene00225850	-3.12
WBGene00225852	1.25
WBGene00225853	-2.04
WBGene00225854	-1.57
WBGene00225855	-1.18
WBGene00225858	-2.89
WBGene00225861	-0.71
WBGene00225863	-1.56
WBGene00225864	2.39
WBGene00225865	-0.63
WBGene00225866	1.22
WBGene00225868	3.04
WBGene00225869	0.70
WBGene00225871	-4.34
WBGene00225877	1.05
WBGene00225878	0.57
WBGene00225879	-0.80
WBGene00225880	-0.31
WBGene00225882	0.96
WBGene00225884	4.05
WBGene00225885	-0.73
WBGene00225886	1.16
WBGene00225887	-0.63
WBGene00225888	-5.62
WBGene00225889	1.32
WBGene00225890	-1.48
WBGene00225891	2.08
WBGene00225892	1.12
WBGene00225893	8.50
WBGene00225895	-1.00
WBGene00225896	0.95
WBGene00225897	2.05
WBGene00225898	4.71
WBGene00225899	-3.03
WBGene00225900	-3.39
WBGene00225901	1.21
WBGene00225903	-2.40
WBGene00225904	4.52
WBGene00225906	2.98
WBGene00225907	1.98
WBGene00225908	0.71
WBGene00225909	0.91
WBGene00225910	-1.97
WBGene00225911	0.93
WBGene00225912	0.82
WBGene00225913	2.54
WBGene00225915	-1.28
WBGene00225920	0.84
WBGene00225921	0.98
WBGene00225922	0.86
WBGene00225923	-1.76
WBGene00225926	0.90
WBGene00225927	-1.99
WBGene00225928	1.77
WBGene00225929	0.50
WBGene00225930	2.36
WBGene00225931	0.57
WBGene00225932	1.70
WBGene00225934	1.90
WBGene00225935	-1.93
WBGene00225936	-0.57
WBGene00225937	-3.22
WBGene00225940	1.85
WBGene00225942	1.48
WBGene00225944	6.06
WBGene00225946	-1.46
WBGene00225949	0.53
WBGene00225950	-6.19
WBGene00225951	-1.00
WBGene00225953	-1.29
WBGene00225955	1.76
WBGene00225957	-0.84
WBGene00225960	-0.97
WBGene00225961	-0.81
WBGene00225962	4.94
WBGene00225964	-1.49
WBGene00225967	-2.00
WBGene00225968	-0.65
WBGene00225969	1.01
WBGene00225970	-1.32
WBGene00225972	-2.10
WBGene00225973	1.84
WBGene00225975	-2.15
WBGene00225976	1.14
WBGene00225979	-4.27
WBGene00225981	2.14
WBGene00225982	2.14
WBGene00225983	-0.65
WBGene00225984	2.49
WBGene00225985	0.73
WBGene00225987	-2.89
WBGene00225989	2.75
WBGene00225991	1.24
WBGene00225994	-1.91
WBGene00225996	-2.22
WBGene00225998	1.29
WBGene00226000	1.27
WBGene00226002	1.81
WBGene00226003	1.70
WBGene00226004	-1.90
WBGene00226005	1.31
WBGene00226006	-1.09
WBGene00226009	-0.97
WBGene00226010	-4.99
WBGene00226012	-1.66
WBGene00226013	1.86
WBGene00226014	2.28
WBGene00226015	2.43
WBGene00226018	-1.70
WBGene00226019	-2.39
WBGene00226021	-1.87
WBGene00226022	2.11
WBGene00226026	-0.98
WBGene00226027	-0.56
WBGene00226028	-7.74
WBGene00226029	-2.78
WBGene00226030	0.74
WBGene00226031	0.79
WBGene00226032	2.02
WBGene00226033	-14.71
WBGene00226034	-8.60
WBGene00226035	1.83
WBGene00226036	1.35
WBGene00226037	0.81
WBGene00226039	-1.56
WBGene00226040	2.80
WBGene00226041	1.63
WBGene00226042	-0.92
WBGene00226043	2.00
WBGene00226045	2.00
WBGene00226046	3.11
WBGene00226047	-1.98
WBGene00226048	-2.36
WBGene00226049	2.87
WBGene00226050	-1.02
WBGene00226051	0.71
WBGene00226052	-1.49
WBGene00226053	-1.59
WBGene00226054	2.97
WBGene00226055	1.09
WBGene00226056	1.11
WBGene00226057	1.10
WBGene00226059	-0.74
WBGene00226061	1.12
WBGene00226062	-1.40
WBGene00226063	3.99
WBGene00226064	-1.81
WBGene00226067	-0.70
WBGene00226068	-1.34
WBGene00226069	0.72
WBGene00226070	3.59
WBGene00226071	1.91
WBGene00226072	-1.13
WBGene00226073	-3.01
WBGene00226074	-1.84
WBGene00226075	-0.27
WBGene00226076	1.21
WBGene00226077	1.91
WBGene00226078	0.79
WBGene00226079	-0.60
WBGene00226081	-0.46
WBGene00226084	-0.97
WBGene00226085	0.63
WBGene00226087	0.90
WBGene00226089	-3.20
WBGene00226090	-0.87
WBGene00226091	-1.22
WBGene00226092	1.31
WBGene00226093	-2.61
WBGene00226094	2.64
WBGene00226095	2.61
WBGene00226097	1.18
WBGene00226098	-0.81
WBGene00226099	1.72
WBGene00226100	-2.62
WBGene00226101	1.83
WBGene00226102	3.07
WBGene00226103	0.79
WBGene00226104	-1.20
WBGene00226106	2.90
WBGene00226107	2.03
WBGene00226108	0.68
WBGene00226109	-5.96
WBGene00226110	-1.44
WBGene00226112	-1.23
WBGene00226113	-1.24
WBGene00226114	1.05
WBGene00226115	1.37
WBGene00226119	-2.23
WBGene00226120	2.14
WBGene00226121	-3.92
WBGene00226122	1.47
WBGene00226123	2.07
WBGene00226124	-0.85
WBGene00226127	-1.64
WBGene00226130	-1.51
WBGene00226131	-2.87
WBGene00226133	1.40
WBGene00226134	1.88
WBGene00226136	-1.13
WBGene00226138	2.35
WBGene00226139	-0.89
WBGene00226140	-2.64
WBGene00226141	-3.01
WBGene00226142	-1.68
WBGene00226144	-0.73
WBGene00226145	2.35
WBGene00226146	-2.58
WBGene00226148	-1.92
WBGene00226149	-2.41
WBGene00226151	-1.66
WBGene00226152	-4.08
WBGene00226154	0.61
WBGene00226155	2.20
WBGene00226156	2.87
WBGene00226157	-7.10
WBGene00226158	-0.34
WBGene00226159	-2.26
WBGene00226160	-9.76
WBGene00226161	2.73
WBGene00226162	-1.80
WBGene00226166	-2.13
WBGene00226167	2.04
WBGene00226169	1.25
WBGene00226171	-1.89
WBGene00226173	3.35
WBGene00226174	-1.14
WBGene00226176	-1.17
WBGene00226178	-1.53
WBGene00226179	0.44
WBGene00226180	-5.00
WBGene00226182	-2.68
WBGene00226184	0.52
WBGene00226185	2.71
WBGene00226186	1.48
WBGene00226187	0.31
WBGene00226189	1.39
WBGene00226190	1.98
WBGene00226192	-1.27
WBGene00226195	0.63
WBGene00226196	-1.42
WBGene00226198	-6.88
WBGene00226200	1.44
WBGene00226201	-3.08
WBGene00226202	-0.92
WBGene00226203	0.99
WBGene00226204	-2.05
WBGene00226206	2.48
WBGene00226208	-0.67
WBGene00226209	0.49
WBGene00226211	-1.31
WBGene00226212	2.26
WBGene00226213	-0.97
WBGene00226214	-1.10
WBGene00226215	1.34
WBGene00226217	-5.41
WBGene00226218	3.25
WBGene00226219	-1.70
WBGene00226223	1.07
WBGene00226224	3.91
WBGene00226225	-0.67
WBGene00226227	1.63
WBGene00226228	-0.81
WBGene00226229	-2.25
WBGene00226230	-1.55
WBGene00226231	1.29
WBGene00226233	0.87
WBGene00226235	1.11
WBGene00226236	4.74
WBGene00226237	1.04
WBGene00226241	1.57
WBGene00226242	4.70
WBGene00226244	-0.69
WBGene00226245	0.99
WBGene00226246	1.92
WBGene00226249	-1.35
WBGene00226250	-2.29
WBGene00226251	0.98
WBGene00226253	-0.43
WBGene00226254	-0.79
WBGene00226255	-1.10
WBGene00226256	-1.80
WBGene00226257	-4.65
WBGene00226258	2.08
WBGene00226260	-3.29
WBGene00226261	-1.52
WBGene00226262	1.78
WBGene00226264	0.94
WBGene00226265	1.23
WBGene00226266	4.26
WBGene00226267	1.30
WBGene00226268	-3.92
WBGene00226269	2.20
WBGene00226270	-2.29
WBGene00226271	-1.16
WBGene00226272	2.10
WBGene00226274	-1.20
WBGene00226275	1.29
WBGene00226277	-1.33
WBGene00226279	-1.11
WBGene00226283	2.93
WBGene00226284	-1.75
WBGene00226285	-1.63
WBGene00226286	2.95
WBGene00226287	0.53
WBGene00226289	0.83
WBGene00226290	-0.69
WBGene00226293	4.87
WBGene00226294	-2.94
WBGene00226295	1.40
WBGene00226297	0.91
WBGene00226298	4.09
WBGene00226299	-1.98
WBGene00226300	-1.29
WBGene00226301	1.57
WBGene00226303	3.14
WBGene00226304	-1.32
WBGene00226305	-0.53
WBGene00226307	-2.04
WBGene00226308	-1.97
WBGene00226309	0.85
WBGene00226310	-0.87
WBGene00226312	0.94
WBGene00226313	0.48
WBGene00226314	2.69
WBGene00226316	-1.59
WBGene00226317	-1.37
WBGene00226319	1.96
WBGene00226321	1.46
WBGene00226322	-1.71
WBGene00226324	-2.55
WBGene00226325	0.33
WBGene00226328	-0.80
WBGene00226330	-3.52
WBGene00226332	-0.89
WBGene00226333	2.33
WBGene00226334	0.41
WBGene00226335	0.70
WBGene00226337	1.00
WBGene00226341	1.36
WBGene00226342	1.97
WBGene00226344	-0.83
WBGene00226345	0.80
WBGene00226347	1.33
WBGene00226348	1.99
WBGene00226349	-0.86
WBGene00226350	-2.55
WBGene00226351	-3.26
WBGene00226352	-1.81
WBGene00226353	-4.13
WBGene00226354	-2.09
WBGene00226355	3.30
WBGene00226357	1.69
WBGene00226358	2.32
WBGene00226361	0.70
WBGene00226365	0.88
WBGene00226367	0.94
WBGene00226368	-3.31
WBGene00226369	1.19
WBGene00226370	2.84
WBGene00226371	2.05
WBGene00226372	-1.33
WBGene00226374	-0.93
WBGene00226375	1.94
WBGene00226376	-1.72
WBGene00226377	0.94
WBGene00226379	-2.40
WBGene00226380	2.06
WBGene00226381	-1.75
WBGene00226383	1.57
WBGene00226384	1.29
WBGene00226386	0.99
WBGene00226387	-1.10
WBGene00226388	-0.71
WBGene00226389	0.70
WBGene00226390	-9.97
WBGene00226393	3.99
WBGene00226394	1.40
WBGene00226395	0.72
WBGene00226397	-3.12
WBGene00226398	0.71
WBGene00226399	-0.78
WBGene00226401	1.14
WBGene00226402	-0.77
WBGene00226403	-4.33
WBGene00226405	-4.10
WBGene00226406	0.56
WBGene00226408	1.38
WBGene00226409	-0.74
WBGene00226410	4.00
WBGene00226411	-1.88
WBGene00226412	-1.78
WBGene00226414	-1.48
WBGene00226415	-1.62
WBGene00226416	3.61
WBGene00226417	0.52
WBGene00226418	-1.06
