Run	Condition	isolate	sample_name	strain	biomaterial_provider	description_title	developmental_stage	growth_protocol	organism_part	sex
SRR8041486	B2565	YZ45	B2565	WN1094	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041493	B2566	YZ46	B2566	WN1095	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041492	B2567	YZ47	B2567	WN1096	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041491	B2570	YZ50	B2570	WN1099	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041490	B2571	YZ51	B2571	WN1100	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041485	B2572	YZ52	B2572	WN1101	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041484	B2573	YZ53	B2573	WN1102	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041631	B2574	YZ54	B2574	WN1103	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041632	B2575	YZ55	B2575	WN1104	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041629	B2577	YZ57	B2577	WN1106	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041630	B2578	YZ58	B2578	WN1107	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041569	B2579	YZ59	B2579	WN1108	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
