# Gene expression in TPM for each run in  study SRP066611
	SRR2954987	SRR2954988	SRR2954989	SRR2954990	SRR2954991	SRR2954992	SRR2954999	SRR2955000	SRR2955001	SRR2954996	SRR2954997	SRR2954998	SRR2955005	SRR2955006	SRR2954993	SRR2954994	SRR2954995	SRR2955002	SRR2955003	SRR2955004
WBGene00227215	126.41	123.12	122.34	122.17	80.61	53.66	66.25	98.48	116.86	96.01	106.19	199.12	148.74	56.86	119.33	150.99	92.33	96.38	97.27	111.56
WBGene00227216	33.76	43.23	39.26	38.69	21.12	35.42	39.92	32.5	22.5	7.7	42.84	39.32	42.86	26.07	29.7	51.91	1.69	26.51	25.76	28.98
WBGene00227217	181.86	195.44	194.59	148.65	165.55	180.9	121.99	119.61	103.55	98.17	142.13	170.85	113.24	155.05	152.12	170.76	91.54	140.35	125.92	94.48
WBGene00227218	276.41	241.43	195.56	418.79	484.88	451.91	531.36	479.16	513.9	652.72	556.41	372.63	437.4	438.97	494.47	490.08	704.1	422.73	571.4	443.65
WBGene00227219	87.39	83.31	137.8	109.49	86.98	106.67	90.3	70.47	80.13	59.64	130.86	115.69	92.92	116.8	91.49	82.54	47.72	91	120.31	133.05
WBGene00227220	75.91	88.84	80.86	72.9	56.69	61.64	82.83	56.56	75.9	13.13	60.99	87.97	72.64	46.66	37.3	61.94	12.63	88.96	41.38	71.19
WBGene00227221	303.15	351.78	169.35	178.91	153.39	149.69	179.46	183.64	172.13	78.52	181.38	192.02	236.41	181.19	156.27	175.98	44.85	198.23	165.98	230.18
WBGene00227222	45.75	54.46	59.96	61.82	65.82	62.23	51.74	68.52	46.7	21.37	51.02	76.13	54.56	29.83	43.07	43	9.94	62.87	42.08	62.38
WBGene00227223	482.46	411.62	405.47	450.31	480.32	395.61	431.49	448.96	484.57	739.22	535.61	430.87	412.21	450.46	446.46	366.16	877.69	315.53	534.68	505.01
WBGene00227224	86.56	68.63	73.14	76.21	86.2	70.3	91.51	55.29	43.74	29.01	52.99	95.55	62.96	38.43	45.19	76.53	31.68	78.91	67.42	60.89
WBGene00227225	1.06	0.67	3.92	3.7	5.9	1.38	4.85	3.79	3.74	4.23	1.36	3.93	0	2.43	3.28	8.46	2.37	9.26	2.77	5.96
WBGene00227226	26.1	33.74	29.66	20.57	28.71	25.49	23.6	25.14	14.74	16.92	29.63	50.01	22.07	13.5	23.28	19.05	15.89	23.6	12.19	24.84
WBGene00227227	1.25	3.56	9.24	8.05	10.44	0	4.29	4.46	2.65	5.44	0	0	9.63	8.59	7.73	0	0	5.46	4.9	8.43
WBGene00227228	331.43	285.01	329.65	251.94	271.87	347.02	199.16	227.44	277.38	349.55	299.74	235.84	278.08	233.48	271.22	334.19	417	210.23	183.05	233.8
WBGene00227229	36.23	46.87	38.41	92.04	54.22	20.21	44.57	27.82	44.02	101.72	50	57.7	80.04	44.63	64.22	106.65	60.87	34.04	81.43	26.27
WBGene00227230	41.37	34.08	64.43	37.37	38.53	39.9	36.95	46.68	33.67	16.73	23.69	55.52	24.69	38.76	29.31	23.68	6.01	43.67	23.1	46.66
WBGene00227231	0	0	0	0	0	0	0	0	0	0	2.39	0	0	0	0	0	0	0	0	2.09
WBGene00227232	68.73	64.63	86.14	105.1	116.76	134.21	95.97	96.52	103.67	54.76	111.26	98.36	111.31	60.86	115.23	127.58	65.53	105.87	105.94	103.69
WBGene00227233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00227234	43.37	55.12	40.23	141.69	64.37	67.05	74.69	87.43	62.44	69.06	122.21	120.88	136.24	46.74	109.3	133.43	60.72	59.42	53.31	45.85
WBGene00227235	68.82	87.78	97.1	83.83	81.24	75.71	50.08	59.05	72.13	86.78	93.64	97.25	108.67	53.49	78.17	116.51	81.42	34	61	59.03
WBGene00227236	108.21	137.01	140.4	110.01	91.81	98.53	83.46	121.34	76.23	40.23	110.31	131.37	91.12	66.4	76.19	76.38	18.96	94.6	71.81	112.3
WBGene00227237	255.96	246.45	334.6	229.11	280.75	305.28	272.17	338.59	346.07	104.1	172.59	311.2	242.41	325.86	404.95	271.38	98.12	263.6	331.07	310.93
WBGene00227238	30.02	34.86	24.3	49.86	22.87	31.98	41.36	44.99	26.69	50.06	54.84	27.38	48.54	39.53	28.78	37.49	31.18	35.9	64.41	22.16
WBGene00227239	86.74	96.8	123.62	77.8	64.27	64.03	67.4	54.96	61.29	33.49	53.14	129.71	44.98	36.48	85.3	58.12	24.88	97.38	62.4	73.36
WBGene00227240	68.06	48.66	49.6	62.87	81.48	56.96	58.6	69.68	52.97	26.54	46.96	155.8	42.29	54.49	79.16	58.43	28.58	26.64	57.36	61.67
WBGene00227241	99.67	99.43	202.09	90.87	145.7	104.11	83.82	78.91	81.32	37.96	62.7	96.9	134.42	71.95	140.19	151.24	50.62	96.54	91.17	70.58
WBGene00227242	104.5	116.94	148.9	104.06	133.28	115.35	125.19	100.41	122.37	75.24	108.27	109.74	134.67	125.36	115.09	150.83	106.86	122.84	107.22	110.16
WBGene00227243	171	148.62	130.61	193.1	273.98	275	207.86	153.2	168.42	104.33	155.47	224.27	272.22	182.13	233.99	189.99	84.49	165.37	168.14	161.64
WBGene00227244	0	2.2	0	0	4.84	4.51	3.97	4.14	2.45	5.04	0	0	0	0	7.16	0	3.88	0	4.54	0
WBGene00227245	99.8	92.82	63.22	62.96	56.11	80.81	58.69	34.89	54.35	104.98	56.44	61.06	51.76	29.38	52.85	62.7	94.06	53.36	100.53	65.88
WBGene00227246	41.09	48.71	50.82	51.1	50.77	49.38	52.62	50.97	50.4	29.33	40.71	52.85	42.77	32.7	53.92	54.27	19.47	66.98	35.22	58.81
WBGene00227247	11.24	6.25	3.47	31.03	31.39	25.6	19.35	16.78	23.89	12.27	21.71	5.22	25.34	16.15	11.62	48.24	12.58	20.53	18.41	22.18
WBGene00227248	118.74	116.25	119.07	144.41	114.32	135.79	119.75	116.93	118.28	56.65	119.88	125.22	128.21	95.93	132.73	124.91	41.34	103.18	84.15	128.48
WBGene00227249	264.99	318.17	284.21	248.94	252.23	305.3	304.23	324.95	265.92	126.31	256.75	361.64	229.68	307.34	261.85	198.65	102.43	322.14	264.41	267.1
WBGene00227250	72.63	107.67	67.65	94.8	103.61	85.7	84.62	88.05	49.94	28.01	80.01	124.03	59.74	39.44	98.73	78.54	14.02	52.16	67.46	62.21
WBGene00227251	33.93	38.34	20.25	54.86	58.67	46.8	62.93	52.3	46.54	17.1	45.39	67.45	50.92	40.92	53.73	50.93	6.38	67.1	53.66	66.63
WBGene00227252	96.51	89.08	102.3	91.63	134.81	89.75	68.59	49.41	99.34	127.12	118.39	111.01	165.83	73.97	95.03	99.96	262.5	73.88	60.25	72.56
WBGene00227253	36.66	33.87	41.85	83.87	63.81	66.08	67.98	86.9	73.14	97.28	104.6	56.58	80.67	120.59	80.46	77.47	85.27	74.17	73.2	103.03
WBGene00227254	17.61	16.02	26.73	16.18	20.13	6.25	22.06	17.21	18.72	18.35	21.65	31.23	21.66	16.56	14.9	8.25	10.76	17.55	18.89	51.45
WBGene00227255	13.76	13.11	9.57	6.95	3.6	10.07	8.88	18.49	8.23	4.69	6.65	4.79	19.95	2.97	16	11.81	5.78	11.31	20.29	5.82
WBGene00227256	44.39	52.15	60	52.57	44.7	49.72	37.92	51.79	39.51	15.78	41.22	55.62	25.28	24.92	30.95	16.54	11.56	37.71	36.54	45.4
WBGene00227257	53.21	78.6	64.03	67.43	90.41	43.07	74.3	73.88	56.06	16.23	64.84	56.12	38.92	36.38	57.99	37.87	12.89	56.75	52.8	87.58
WBGene00227259	121.91	112.06	177.69	157.19	127.72	147.37	184.95	150.83	141.94	85.57	157.03	129.43	185.16	125.13	112.54	194.38	63.39	133.62	154.12	112.93
WBGene00227260	35.74	31.4	65	37.96	67.55	76.64	43.45	47.72	35.02	16.83	18.96	58.6	35.22	55.59	43.48	72.21	21.19	36.87	49.62	40.31
WBGene00227261	38.08	36.3	61.22	42.07	26.6	49.57	52.46	13.65	37.78	26.33	14.71	63.68	29.44	17.51	55.12	78.46	17.06	22.26	19.97	21.47
WBGene00227262	73.75	57.89	101.93	72.47	69.69	81.89	62.26	67.37	62.26	24.47	30.73	28.21	53.11	62.34	56.07	42.21	9.72	79.25	54.03	66.04
WBGene00227263	24.03	26.33	29.16	25.59	19.76	24.56	16.24	24.14	18.86	7.36	13.88	32.54	20.84	14.72	24.38	26.22	3.02	28.55	20.31	22.03
WBGene00227264	10.9	6.93	13.49	26.44	30.46	49.69	50.08	19.54	21.25	95.25	42.14	10.13	28.11	56.41	28.19	24.97	122.13	23.9	50.04	30.74
WBGene00227265	35.58	40.39	26.51	42.16	44.02	35.72	40.85	42	21.27	20.91	41.97	56.96	28.45	12.82	33.25	26.01	14.65	37.59	22.2	43.27
WBGene00227266	4.79	4.78	5.92	7	1.91	4.45	7.07	0.82	4.12	1.74	8.81	6.35	2.64	0.79	1.41	2.35	1.53	7	6.28	6.17
WBGene00227267	65.82	72.15	24.42	93.1	68.95	77.12	147.34	117.93	69.97	71.86	63.58	36.69	50.89	34.05	61.24	90.41	66.34	57.71	103.55	77.93
WBGene00227268	56.77	67.94	62.74	36.13	70.87	28.31	37.44	30.3	55.22	35.61	51.35	33.67	46.7	25	37.47	29.04	28.41	15.89	23.76	36.78
WBGene00227269	428.57	399.67	398.29	351.88	379.03	293.83	346.46	378.66	338.79	344.26	421.37	376.94	405.24	358.59	409.02	339.65	352.18	274.24	325.82	280.26
WBGene00227270	83.87	104.49	101.67	102.02	62.64	87.57	74.36	95.23	78.57	58.03	109.1	106.46	89.89	108.83	77.27	105.51	61.38	120.14	84.92	87.09
WBGene00227271	31.4	40.89	25.58	24.46	20.86	20.94	14.51	13.72	22.8	13.38	19.24	14.94	23.69	17.17	16.63	28.94	9.01	20.15	30.13	23.32
WBGene00227272	101.75	127.59	88.68	86.66	80.13	69.35	70.56	68.52	77.68	31.32	60.69	91.35	52.8	96.56	88.96	72.7	18.36	92.81	77.89	83.17
WBGene00227273	25.43	35.52	26.02	28	40.42	41.09	18.12	31.42	15.85	11.01	27.11	29.32	20.34	9.07	27.2	24.09	7.37	15.38	18.97	16.32
WBGene00227274	170.3	159.98	183.14	133.66	124.11	77.12	187.01	132.67	178.42	220.97	152.6	151.33	143.13	170.24	176.07	178	240.49	140.67	174.73	158.65
WBGene00227275	65.58	72.77	90.78	78.32	49.22	64.99	57.31	70.15	56.19	24.58	52.95	81.84	26.49	33.76	30.36	57.14	46.04	47.2	46.2	69.54
WBGene00227276	16.28	25.63	21.88	22.88	22.74	14.74	17.87	17.75	12.04	6.44	30.08	30.24	7.3	9.76	12.44	7.29	3.17	27.92	9.28	31.92
WBGene00227278	74.51	41.85	143.16	81.74	83.64	88.34	87.07	85.83	74.97	55.2	56.56	89	72.02	59.66	119.68	105.1	49.18	52.5	52.33	54.02
WBGene00227280	4.92	5.21	0	6.18	4.58	2.13	0	1.96	1.16	1.79	6.33	6.09	8.45	0	5.08	9.38	0	0	4.3	0
WBGene00227282	38.08	46.31	77.95	50.95	44.02	61.54	18.09	51.76	43.27	43.01	76.11	36.6	45.69	58.87	65.16	81.17	39.71	17.27	67.14	66.64
WBGene00227283	22.61	25.96	43.85	29.91	32.3	42.15	46.02	25.78	31.14	11.78	35.75	57.29	29.8	37.22	25.5	35.3	15.54	40.56	24.26	38.25
WBGene00227284	12.19	14.26	5.14	4.7	1.16	3.25	2.86	5.96	2.36	1.51	4.28	1.54	3.21	1.91	1.72	1.9	0	2.43	2.18	7.5
WBGene00227285	13.95	25.23	21.42	14.39	14.11	9.4	4.97	5.17	6.65	4.73	5.58	10.73	13.02	14.93	13.43	6.61	4.85	6.33	5.68	11.39
WBGene00227286	8.1	8.05	3.92	13.94	22.12	9.62	9.7	17.66	10.1	3.46	16.32	21.58	12.25	12.14	13.1	15.71	0	15.43	8.31	11.91
WBGene00227287	1.13	1.21	1.57	2.28	2.95	0.55	2.43	1.51	2.25	0.62	0	3.14	0.54	0.49	1.31	1.94	0	1.24	0	1.43
WBGene00227288	24.89	32.2	31.88	38.08	33.52	24.3	25.51	26.54	28.35	10.03	27.48	28.07	16.04	13.28	16.54	12.21	1	28.58	15.15	20.05
WBGene00227289	83.3	75.67	127.25	79.21	127.31	76.55	77.63	112.38	102.1	38.52	83.31	60.09	71.99	114.91	79.03	97.6	46.1	120.3	73.23	109.41
WBGene00227290	35.46	32.02	22.5	28.28	37.15	20.04	33.74	21.74	14.88	18.34	25.24	33.81	30.66	9.65	39.07	51.27	21.95	16.36	29.36	20.52
WBGene00227291	34.97	32.78	49.74	38.63	31.75	70.57	34.13	29.24	32.22	28.64	22.52	48.73	27.04	16.08	36.16	50.04	29.37	43.44	43.56	23.66
WBGene00227292	3.17	1.21	2.35	2.56	0	2.47	0	0	2.02	0.69	0	3.53	0	0	1.96	4.35	2.13	0	0	2.14
WBGene00227293	95.1	122.31	83.51	78.24	77.82	76.93	65.9	74.62	58.03	28.26	52.19	69.01	34.81	38.82	59.35	59.91	7.56	66.61	61.97	66.64
WBGene00227294	117.6	115.83	82.41	89.77	109.51	137.79	81.01	107.7	105.57	42.8	75.74	109.25	106.08	67.6	85.11	112.18	61.46	80.2	61.67	128.2
WBGene00227295	325.96	323.92	366.57	395.59	425.65	411.14	486.6	410.34	534.02	344.8	306.87	478.67	328.44	617.83	466.85	532.75	406.43	485.8	512.09	527.96
WBGene00227296	43.46	49.71	48.37	50.35	84.99	56.58	44.91	109.02	47.74	55.36	33.59	24.22	39.21	54.96	62.91	79.6	53.54	38.11	62.68	58.81
WBGene00227297	117.2	132.98	76.96	92.22	76.06	68.86	73.23	72.48	77.18	44.73	108.21	124.3	112.28	62.6	77.21	69.46	34.85	95.49	93.83	103.51
WBGene00227298	30.02	31.19	52.34	54.35	57.86	58.62	55.83	59.16	46.59	15.4	51.04	60.23	26.69	33.13	33.52	31.96	11.09	39.48	42.5	56.87
WBGene00227299	47.27	59.89	75.47	42.8	40.12	40.89	32.97	41.81	38.16	17.31	27.74	68.37	42.79	33.02	35.26	23.63	12.06	43.28	43.54	52.63
WBGene00227300	323.97	344.71	376.67	359.61	387.21	387.62	388.97	302.52	411.11	180.6	246.85	324.28	383.69	381.63	417.52	450.52	226.14	365.09	367.91	378.21
WBGene00227301	637.09	593.54	570.54	497.21	536.59	490.3	399.94	429.63	443.74	433.12	533.61	437.33	487.76	428.63	515.93	515.18	333.21	415.53	399.94	428.96
WBGene00227302	79.1	76.15	88.04	81.84	53.03	64.87	40.86	76.53	56.34	24.18	97.81	35.27	42.81	57.29	73.6	73.34	23.92	34.68	65.33	58.87
WBGene00227303	77.24	58.16	93.92	82.37	89.76	109.01	67.07	74.43	85.56	53.86	102.83	75.98	80.3	85.07	70.46	91.39	80.69	79.68	91.91	79.05
WBGene00227304	257.71	289.01	255.91	257.32	231.87	236.83	237.57	222.74	219.98	87.72	205.03	266.17	231.5	245.73	296.23	268.11	63.67	232.62	226.57	241.05
WBGene00227305	51.33	82.64	41.61	38.7	34.34	37.06	49.02	46.37	24.76	23.55	40	72.12	80.04	34.21	41.47	51.84	10.14	66.18	23.75	36.48
WBGene00227306	17.57	12.43	23.13	22.9	9.5	17.71	19.52	12.19	19.88	12.38	8.76	34.75	17.53	25.41	15.82	15.57	0	7.45	28.98	21.09
WBGene00227307	30.9	47.46	36.63	41.98	55.76	35.21	39.92	30.76	39.24	16.4	31.51	50.24	21.57	16.28	39.94	54.54	10.1	20.7	47.27	29.04
WBGene00227308	44.81	40.82	96.06	49.1	41.73	35	34.3	49.96	52.93	14.13	46.18	66.61	26.95	54.95	33.98	47.88	10.04	43.66	54.84	53.91
WBGene00227309	31.78	22.97	30.43	22.79	27.93	4	22.95	12.86	13.62	5.04	21.79	14.29	21.8	10.61	22.26	26.41	5.17	6.74	16.13	26.01
WBGene00227310	6.07	6.85	7.5	8.54	7.53	5.27	5.42	6.44	6.45	1.47	7.81	10.02	3.47	0.77	5.58	3.86	1.51	2.96	3.53	6.84
WBGene00227311	33.57	41.66	31.64	39.63	33.5	40.59	27.53	35.33	27.48	11.93	30.89	51.98	29.88	20.22	36.37	16.47	10.74	26.87	24.11	31.55
WBGene00227312	58.73	64.12	68.91	51.53	67.32	35.29	74.34	50.37	47.5	20.83	56.25	100.73	60.16	25.97	26.47	41.37	5.06	63.82	29.62	45.85
WBGene00227313	50.6	60.47	74.04	89.87	74.67	86.29	100.64	84.29	115.93	32.68	96.39	119.18	115.73	159.77	132.64	95.46	26.34	109.36	131.75	103.68
WBGene00227314	40.09	40.28	56.28	59.12	59.03	59.25	59.71	64.07	47.8	17.15	39.78	81.54	37.7	26.16	73.94	39.07	12.74	54.63	49.01	49.49
WBGene00227315	19.21	28.06	17.04	22.87	24.94	19.16	19.42	21.32	11.88	5.81	19.36	43.64	24.22	7.2	16.51	13.26	1.75	26.09	18.07	26.84
WBGene00227316	211.25	203.96	195.1	195.67	243.16	194.76	184.24	211.19	202.41	166.3	227.73	186.98	161.24	156.35	210.91	211.73	149.27	139.12	213.96	193.24
WBGene00227317	41.18	67.73	80.89	70.71	66.55	68.33	56.55	73.31	45.5	21.75	54.08	100.52	46.83	28.78	44.25	45.29	11.76	54.28	42.35	71.94
WBGene00227318	181.88	272.02	279.23	281.36	354.82	293.95	291.62	348.38	280.04	376.63	266.59	367.07	278.85	183.86	340.44	441.55	463.6	247.47	185.01	180.36
WBGene00227319	179.97	187.47	175.53	208.46	241.03	192.03	172.54	232.72	160.75	82.04	240.18	175.81	229.54	140.78	210.05	191.15	59.22	199.29	135	163.2
WBGene00227320	5.42	13.21	6.71	6.82	0	2.35	8.3	0	3.2	2.63	6.99	6.72	6.99	0	1.87	4.14	0	2.64	4.74	4.08
WBGene00227321	164.71	232.09	147.6	166.58	168.39	183.35	156.21	151.13	103.2	68.63	212.15	197.36	195.34	109.77	123.4	161.22	38.76	118.61	126.75	170.94
WBGene00227322	86.94	99.24	89.13	63.8	47.94	84.89	59.1	77.9	66.89	71.2	66.31	44.64	61.92	67.07	49.68	35.36	34.59	75.23	36	96.76
WBGene00227323	37.24	67.81	52.78	44.65	45.59	26.15	21.62	55.49	26.25	19.65	37.19	44.32	30.74	27.42	44.13	44.55	22.5	34.86	31.27	26.9
WBGene00227324	3.55	5.08	6.59	5.75	0	0	12.24	12.74	0	0	6.87	0	13.74	0	5.51	12.21	5.97	0	13.98	0
WBGene00227325	24.4	34.3	43	34.02	33.23	40.5	35.71	37.16	29.18	10.66	25.93	47.6	33.01	29.45	26.49	29.33	2.05	34.76	33.59	30.95
WBGene00227326	85.05	82.06	107.74	108.99	82.58	56.71	96.45	104.07	86	81.53	84.17	86.72	112.28	78.7	106.16	92.61	83.64	104.58	69.35	73.69
WBGene00227327	51.34	51.19	50.36	52	49.46	50.71	42.69	33.84	36.39	10.31	29.65	39.47	43.35	16.28	36.61	26.35	17.85	51.75	44.1	39.93
WBGene00227328	224.66	313.98	204.85	269.32	247.34	230.52	275.42	156.93	188.24	72.76	242.79	244.09	213.47	105.06	188.98	346.55	44.78	217.03	224.66	148.15
WBGene00227329	10.33	13.79	0	8.35	17.32	0	7.12	0	8.79	4.51	0	0	0	0	0	0	0	9.06	0	0
WBGene00227330	8.68	4.82	2.68	10.52	3.03	0	4.98	5.18	6.92	3.16	11.18	4.03	13.98	14.96	6.73	4.97	2.43	15.85	2.84	7.34
WBGene00227331	23.74	30.34	39.36	30.22	29.64	27.62	24.36	27.15	18.26	9.38	17.57	28.16	15.62	15.68	21.94	17.35	6.79	6.64	29.8	34.18
WBGene00227333	8.04	6.35	9.26	8.97	9.3	4.33	4.78	4.97	6.49	2.12	7.5	9.28	5.36	6.7	5.16	5.72	0	2.43	5.45	6.57
WBGene00227334	26.73	32.76	34	25.93	32.01	26.85	21.04	27.37	15.43	18.35	20.66	4.26	32.48	15.8	21.32	15.74	20.53	23.44	18.02	28.42
WBGene00227335	18.37	18.15	35.94	16.47	11.2	7.83	16.11	11.97	10.65	10.94	6.45	16.76	9.04	6.91	11.4	10.32	5.61	7.32	7.88	20.34
WBGene00227336	5.22	6.63	8.61	15.47	0	9.06	5.99	10.39	8.01	3.17	8.96	19.39	17.94	12	10.79	9.96	3.9	25.42	15.97	5.89
WBGene00227337	193.57	243.59	223.33	230.4	217.63	223.58	221.56	219.95	220.84	76.03	273.66	309.21	246.42	246.28	223.32	226.99	63.45	313.07	262.29	223.62
WBGene00227338	67.42	112.55	74.67	97.61	89.96	64.19	100.51	115.4	82.73	88.26	111.47	112.18	118.01	49.74	81.15	96.76	64.24	104.41	102.91	103.27
WBGene00227339	102.15	109.55	88.83	69.67	96.99	59.22	85.21	48.62	71.27	41.83	80.18	57.83	86.39	44.04	81.69	52.07	26.81	83.97	75.33	75.6
WBGene00227340	4.56	2.9	2.82	6.14	9.55	5.93	5.23	5.44	4.04	3.32	2.93	0	0	2.62	4.71	2.61	2.55	3.33	0	5.14
WBGene00227341	173.61	197.25	175.67	231.05	220.46	229.45	187.24	197.96	149.14	67.01	176.19	185.72	122.04	163.3	201.26	168.63	50.08	203.74	179.33	139.42
WBGene00227342	17.45	12.94	17.98	27.42	16.25	26.5	13.35	17.37	23.7	11.64	29.96	37.82	3.75	13.37	42.09	33.29	6.51	29.75	7.62	9.84
WBGene00227343	0.91	0.87	0	2.21	0	0	0	0	1.94	0	0	0	0	0	0	0	0	0	3.59	3.09
WBGene00227344	49.18	51.63	63.46	43.21	26.88	47.32	34.37	30.65	45.46	17.12	30.29	47.67	68.89	46.7	48.63	41.61	7.18	59.37	33.64	40.99
WBGene00227345	55.51	49.14	76.01	70.51	58.16	43.88	63.73	59.21	66.75	31.75	38.31	81.04	48.55	45.59	55.35	72.63	22.2	81.13	70.18	42.48
WBGene00227346	41.69	51.97	43.63	40.61	44.8	37.58	40.5	61.3	55.69	8.17	53.7	47.67	62	22.12	59.69	47.73	3.59	37.5	54.66	32.55
WBGene00227347	34.73	42.53	65.42	49.89	45.9	52.18	48.77	48.83	43.74	11.38	32.01	65.53	34.09	28.57	43.09	55.05	5.39	41	52.54	63.27
WBGene00227348	0.88	0.42	1.63	0.36	0	0	1.51	0	0	0	1.7	0	0	0	4.09	0	0	0	0	0
WBGene00227349	122.61	149.66	101.61	120.21	128.12	118.16	106.4	107.28	117.14	45.9	127.98	150.88	142.82	105.44	134.34	130.15	17.12	131.24	116.49	115.28
WBGene00227350	1.27	3.65	7.09	2.32	0	2.49	3.29	1.14	0.68	1.39	0	1.78	0	1.1	0.99	1.09	1.07	2.79	0	1.08
WBGene00227351	334.3	355.43	310.84	209.53	246.81	210.59	241.42	211.07	232.37	116.38	237.2	238.12	264.58	280.37	225.13	249.27	97.55	296.4	256.12	249.77
WBGene00227352	53.41	63.41	63.05	81.24	59	49.3	61.87	64.38	52.13	23.86	63.79	100.13	50.68	50.24	43.67	56.69	16.31	72.37	38.19	50.92
WBGene00227353	35.61	47.52	33.97	72.37	42.63	47.68	42.05	69.27	57.32	23.33	74.7	68.05	74.73	63.16	53.65	90.84	37.6	53.52	48.02	82.61
WBGene00227354	98.02	109.23	65.41	86.92	76.83	67.48	93.51	75.81	70.47	55.43	115.81	121.85	103.6	66.88	84.21	81.13	39.09	74.2	69.34	103.78
WBGene00227355	49.3	72.56	60.52	68.86	68.36	76.45	66.17	72.75	58.58	35.22	75.64	76.78	68.67	70.01	67.46	75.94	25.58	85.82	68.44	62.55
WBGene00227356	895.87	1089.48	598.19	771.97	711.07	754.14	846.42	934.28	783.77	426.61	1130.51	739.26	1055.67	1114.39	873.16	723.39	303.63	1094.51	933.33	945.79
WBGene00227357	41.33	58.55	59.11	47.04	52.25	48.7	44.54	38.07	27	11.85	26.77	72.08	33.92	16.72	30.08	21.41	4.66	32.4	28.16	46.87
WBGene00227358	39.47	35.02	34.8	45.49	49.14	35.11	49.81	51.82	61.91	13.66	31.72	56.64	39.29	62.01	54.55	38.92	15.76	61.69	61.49	42.31
WBGene00227359	23.18	31.4	20.37	29.58	28.12	42.88	18.91	28.42	26.59	19.31	42.43	23.8	25.94	16.83	20.81	31.42	24.59	29.42	35.99	30.95
WBGene00227360	92.15	98.61	99.26	127.83	87.2	104.49	110.58	136.36	119.46	72.05	91.9	106.05	121.83	133.28	112.49	116.38	59.93	156.39	130.95	118.68
WBGene00227361	117.96	108.56	120.73	109.15	102.27	101.67	117.68	104.95	107.24	72.83	110.02	136.03	94.35	109.42	158.96	176	84.73	124.83	115.19	99.08
WBGene00227362	196.25	159.15	201.05	137.32	141.16	148.72	136.2	120.72	144.8	185.49	203.74	65.31	141.56	141.43	136.28	201.19	231.28	173.37	97.93	163.51
WBGene00227363	78.36	64.46	107.52	58.13	71.97	71.27	66.54	53.85	61.62	15.24	45.63	59.83	45.65	114.76	89.89	55.29	18.03	65.88	67.55	39.95
WBGene00227364	154.73	180.71	162.15	201.93	232.64	237.58	217.65	241.28	202.17	208.28	207.68	213.98	274	234.24	278.44	214.99	168.67	240.8	229.97	187.82
WBGene00227365	146.62	151.69	131.82	160.18	150.99	123.13	134.44	130.91	129.81	99.99	125.69	153.41	131.56	170.86	141.25	156.39	89.11	118.47	143.68	126.97
WBGene00227366	22.06	18.23	32.74	16.64	16.44	19.15	18.58	10.54	11.99	4.28	13.26	21.86	7.58	6.76	18.25	10.1	1.65	8.6	11.57	4.98
WBGene00227367	6.63	3.79	9.84	0	5.56	5.18	4.57	4.75	2.82	2.9	10.25	14.78	10.25	0	4.11	0	0	5.81	0	0
WBGene00227368	15.33	21.39	18.28	32.3	20.64	25.65	11.31	11.77	18.04	3.59	23.27	15.25	29.63	9.44	27.16	30.07	3.68	14.4	15.07	16.67
WBGene00227369	63.35	80.11	61.16	57.22	55.53	40.4	34.51	31.28	26.8	19.41	34.97	61.26	44.99	14.49	49.13	52.17	8.69	24.09	35.6	41.55
WBGene00227370	127.86	69.2	164.82	167.29	140.76	245.46	205.26	132.03	157.81	65.07	117.24	235.55	108.92	213.01	228.54	197.22	36.41	147.26	127.85	230.95
WBGene00227371	34.1	14.6	56.84	38.35	41.42	46.33	57.88	42.51	34.68	7.55	28.65	52.34	15.29	51.14	38.32	27.16	11.62	39	38.88	43.47
WBGene00227372	48.64	45.91	46	62.05	47.96	42.83	36.13	44.43	28.39	28.63	62.65	90.37	49.78	36.18	45.85	55.68	11.22	56.44	41.26	38.72
WBGene00227373	39.01	30.99	24.12	36.79	34.06	38.09	16.79	34.95	41.47	10.65	12.56	45.3	6.28	22.42	35.29	89.31	16.38	14.25	38.36	22
WBGene00227374	16.62	27.87	29.77	28.73	16.82	4.48	25.67	10.27	12.8	5.01	8.86	25.56	13.3	11.86	21.34	11.81	3.85	20.11	22.55	15.51
WBGene00227376	81.22	105.48	72.79	74.85	87.15	73.56	72.98	67.5	49.22	23.13	74.29	98.42	69.78	48.72	64.5	83.55	15.82	72.25	43.21	73.01
WBGene00227379	449.7	380.88	466.13	443.26	429.33	484.38	419.72	481.16	499.3	263.17	443.82	393.73	481.56	524.44	495.06	457.39	231.9	432.62	422.05	503.5
WBGene00227380	0.48	0	0	0.78	2.01	1.87	0	0	1.53	0	1.85	0	0	0	1.49	1.65	0	0	0	0
WBGene00227381	6.61	19.42	12.26	8.46	18.46	4.3	5.69	13.82	7.03	3.61	6.38	3.07	8.52	7.6	6.83	5.67	0	0	10.83	5.59
WBGene00227382	49.56	40.43	56.87	47.91	44.97	35.92	49.28	45.78	40.74	17.29	21.72	59.81	37.53	29.96	63.4	22.81	12.02	29.12	42.2	44.95
WBGene00227383	659.04	669.02	644.17	700.73	650.74	625.6	724.35	749.3	786.43	1013.27	869.38	579.31	732.72	666.29	743.34	650.86	903.82	675.44	735.8	757.01
